"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","30-Apr-2013","        945.80","        945.00","        963.75","        928.20","        963.75","        953.25","        944.82","     304358","           287564379.65","      18949","     119803","         39.36"
"TECHM","EQ","02-May-2013","        953.25","        958.95","        979.00","        958.95","        967.50","        965.65","        970.57","     283552","           275208175.70","      17002","     136298","         48.07"
"TECHM","EQ","03-May-2013","        965.65","        966.50","        993.80","        958.10","        987.00","        986.65","        978.95","     361962","           354342820.90","      16659","     164122","         45.34"
"TECHM","EQ","06-May-2013","        986.65","        989.90","       1012.80","        986.65","       1000.50","       1001.65","       1000.58","     519786","           520087771.85","      16439","     341447","         65.69"
"TECHM","EQ","07-May-2013","       1001.65","       1006.85","       1018.00","        999.35","       1007.00","       1005.55","       1008.56","     211072","           212878460.80","       9090","     102750","         48.68"
"TECHM","EQ","08-May-2013","       1005.55","       1008.00","       1014.75","        978.00","        981.50","        983.80","        997.04","     302895","           301999587.30","      23237","     167102","         55.17"
"TECHM","EQ","09-May-2013","        983.80","        983.80","        991.25","        978.15","        980.00","        983.40","        985.71","     189634","           186923690.00","      11647","      87098","         45.93"
"TECHM","EQ","10-May-2013","        983.40","        985.00","        989.90","        968.00","        973.00","        976.05","        975.97","     141511","           138110143.70","      11157","      54953","         38.83"
"TECHM","EQ","11-May-2013","        976.05","        974.00","        997.00","        972.00","        995.50","        994.80","        992.21","      52368","            51960144.90","       1961","      12448","         23.77"
"TECHM","EQ","13-May-2013","        994.80","        997.95","       1003.65","        950.35","        954.85","        954.85","        971.59","     247470","           240439133.30","      16451","     103001","         41.62"
"TECHM","EQ","14-May-2013","        954.85","        957.00","        974.00","        951.55","        961.15","        958.45","        960.08","     253343","           243228638.50","       9594","     135071","         53.32"
"TECHM","EQ","15-May-2013","        958.45","        962.25","        967.95","        941.50","        955.80","        954.00","        953.21","     549217","           523519135.40","      35923","     364214","         66.32"
"TECHM","EQ","16-May-2013","        954.00","        952.00","        960.00","        937.55","        940.10","        942.30","        946.76","     325330","           308008789.85","      24128","     164441","         50.55"
"TECHM","EQ","17-May-2013","        942.30","        950.00","        955.00","        921.15","        925.00","        927.85","        933.27","     408838","           381557581.30","      36950","     201244","         49.22"
"TECHM","EQ","20-May-2013","        927.85","        931.70","        936.00","        918.00","        923.50","        922.10","        926.18","     423658","           392383227.30","      29379","     246452","         58.17"
"TECHM","EQ","21-May-2013","        922.10","        925.10","        934.90","        895.05","        909.00","        909.85","        911.11","    1362543","          1241429146.90","      71317","     650208","         47.72"
"TECHM","EQ","22-May-2013","        909.85","        962.00","        979.45","        933.30","        945.50","        943.30","        961.64","    2667530","          2565190674.75","      83206","     856952","         32.13"
"TECHM","EQ","23-May-2013","        943.30","        946.95","        960.80","        937.70","        953.00","        952.50","        950.59","     636970","           605500186.25","      26498","     235709","         37.00"
"TECHM","EQ","24-May-2013","        952.50","        958.70","        964.85","        945.35","        952.00","        951.45","        953.28","     223326","           212891973.05","      10418","      57041","         25.54"
"TECHM","EQ","27-May-2013","        951.45","        951.00","        959.15","        945.00","        950.05","        953.65","        954.12","     218021","           208018775.15","       8012","     102049","         46.81"
"TECHM","EQ","28-May-2013","        953.65","        957.00","        987.00","        952.15","        987.00","        983.60","        971.53","     598125","           581095080.85","      27070","     284961","         47.64"
"TECHM","EQ","29-May-2013","        983.60","        987.00","        997.50","        972.30","        982.00","        983.35","        987.09","     347595","           343107501.10","      19649","     118918","         34.21"
"TECHM","EQ","30-May-2013","        983.35","        977.00","        994.00","        974.10","        979.00","        978.80","        982.29","     393538","           386569818.00","      18979","     192399","         48.89"
"TECHM","EQ","31-May-2013","        978.80","        979.00","        987.00","        961.10","        966.10","        967.50","        974.36","     119522","           116457635.00","       5709","      40086","         33.54"
"TECHM","EQ","03-Jun-2013","        967.50","        962.50","        975.00","        925.25","        944.90","        940.25","        940.82","     284427","           267593858.75","      33388","     135588","         47.67"
"TECHM","EQ","04-Jun-2013","        940.25","        941.00","        950.00","        940.00","        943.10","        942.50","        943.19","     519159","           489664077.10","      45160","     379648","         73.13"
"TECHM","EQ","05-Jun-2013","        942.50","        938.50","        949.50","        912.10","        918.00","        917.60","        928.32","     580704","           539076739.55","      24548","     342289","         58.94"
"TECHM","EQ","06-Jun-2013","        917.60","        911.00","        942.90","        909.10","        926.00","        925.00","        929.68","     551277","           512512647.05","      27726","     212873","         38.61"
"TECHM","EQ","07-Jun-2013","        925.00","        930.50","        951.45","        929.00","        935.00","        936.95","        939.97","     421210","           395923859.65","      23887","     151660","         36.01"
"TECHM","EQ","10-Jun-2013","        936.95","        948.90","        950.00","        933.10","        940.00","        940.35","        940.87","     499458","           469926610.00","      27566","     269701","         54.00"
"TECHM","EQ","11-Jun-2013","        940.35","        939.00","        977.70","        923.50","        971.00","        968.00","        957.13","     918449","           879074766.90","      38794","     323130","         35.18"
