"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WIPRO","EQ","09-May-2013","        351.05","        352.40","        357.00","        352.00","        355.00","        354.80","        354.43","    1261781","           447215404.80","      20322","     826259","         65.48"
"WIPRO","EQ","10-May-2013","        354.80","        356.55","        357.15","        352.60","        355.00","        355.00","        355.28","    1506921","           535378818.75","      14065","    1195467","         79.33"
"WIPRO","EQ","11-May-2013","        355.00","        354.30","        356.40","        352.65","        355.45","        355.00","        355.01","      52135","            18508628.50","       1184","      14573","         27.95"
"WIPRO","EQ","13-May-2013","        355.00","        355.00","        355.60","        346.20","        347.95","        347.95","        349.32","    1340087","           468114036.20","      15944","    1087665","         81.16"
"WIPRO","EQ","14-May-2013","        347.95","        348.00","        350.50","        344.60","        347.80","        347.65","        347.27","     522393","           181413218.10","      13460","     275902","         52.82"
"WIPRO","EQ","15-May-2013","        347.65","        347.25","        351.50","        341.50","        345.00","        346.15","        347.57","    1538095","           534595877.65","      17232","     990094","         64.37"
"WIPRO","EQ","16-May-2013","        346.15","        346.50","        347.35","        342.55","        346.10","        346.45","        344.24","    1922015","           661634005.55","      17445","    1610215","         83.78"
"WIPRO","EQ","17-May-2013","        346.45","        346.00","        349.40","        338.60","        344.05","        344.00","        343.23","    1097772","           376791452.70","      20597","     612720","         55.81"
"WIPRO","EQ","20-May-2013","        344.00","        341.25","        341.85","        334.15","        338.05","        337.95","        336.13","    4592868","          1543797633.50","      54433","    3862141","         84.09"
"WIPRO","EQ","21-May-2013","        337.95","        338.05","        343.75","        336.05","        339.20","        338.90","        339.37","    1517317","           514936297.80","      22113","     885085","         58.33"
"WIPRO","EQ","22-May-2013","        338.90","        339.40","        343.60","        339.10","        342.75","        342.05","        341.27","    1441658","           491995593.30","      27956","    1085012","         75.26"
"WIPRO","EQ","23-May-2013","        342.05","        341.05","        342.55","        331.80","        338.00","        337.10","        337.06","    2155853","           726644822.10","      39248","    1634911","         75.84"
"WIPRO","EQ","24-May-2013","        337.10","        338.55","        342.40","        332.80","        336.00","        336.20","        335.77","     669850","           224916790.00","      26678","     317478","         47.40"
"WIPRO","EQ","27-May-2013","        336.20","        337.00","        342.00","        333.00","        341.10","        340.25","        336.90","    1232836","           415346830.40","      36559","     739867","         60.01"
"WIPRO","EQ","28-May-2013","        340.25","        338.70","        343.45","        336.00","        340.00","        340.10","        340.09","    1326134","           450999542.55","      17980","     906865","         68.38"
"WIPRO","EQ","29-May-2013","        340.10","        339.00","        344.30","        336.05","        339.50","        339.35","        339.29","    1712408","           580998911.90","      14729","    1366786","         79.82"
"WIPRO","EQ","30-May-2013","        339.35","        337.55","        342.30","        334.50","        337.25","        336.10","        337.67","    1170213","           395141637.65","      21728","     702062","         59.99"
"WIPRO","EQ","31-May-2013","        336.10","        337.75","        339.85","        314.85","        330.00","        327.65","        331.40","    2724191","           902801639.30","      52467","    2016882","         74.04"
"WIPRO","EQ","03-Jun-2013","        327.65","        330.10","        334.00","        323.10","        325.05","        324.95","        327.61","    1473931","           482880874.75","      35739","     956323","         64.88"
"WIPRO","EQ","04-Jun-2013","        324.95","        326.35","        333.85","        326.35","        329.90","        330.90","        329.85","     959616","           316525385.55","      24964","     513836","         53.55"
"WIPRO","EQ","05-Jun-2013","        330.90","        332.00","        332.70","        324.05","        325.00","        325.00","        326.16","    1006670","           328339820.40","      21916","     753282","         74.83"
"WIPRO","EQ","06-Jun-2013","        325.00","        324.00","        331.25","        323.10","        330.20","        330.00","        329.47","    1359786","           448014805.45","      25557","     999412","         73.50"
"WIPRO","EQ","07-Jun-2013","        330.00","        328.00","        339.00","        328.00","        334.05","        334.90","        335.19","     817159","           273906334.75","      15180","     353696","         43.28"
"WIPRO","EQ","10-Jun-2013","        334.90","        337.00","        344.90","        336.80","        343.95","        343.25","        342.80","    1044394","           358013706.15","      21572","     431304","         41.30"
"WIPRO","EQ","11-Jun-2013","        343.25","        344.10","        347.00","        319.90","        345.25","        345.05","        341.03","    2330596","           794812804.25","      30545","    1093663","         46.93"
"WIPRO","EQ","12-Jun-2013","        345.05","        345.75","        346.00","        341.00","        345.00","        344.35","        344.48","    1113034","           383414055.35","      16234","     772539","         69.41"
"WIPRO","EQ","13-Jun-2013","        344.35","        340.00","        341.00","        332.00","        340.50","        340.00","        338.55","     679082","           229904101.60","       8970","     416739","         61.37"
"WIPRO","EQ","14-Jun-2013","        340.00","        330.25","        342.80","        330.25","        337.00","        337.55","        335.68","    1209713","           406080168.70","      28747","     673914","         55.71"
"WIPRO","EQ","17-Jun-2013","        337.55","        337.60","        340.00","        332.00","        339.80","        338.05","        336.07","     538891","           181102962.10","      10765","     352833","         65.47"
"WIPRO","EQ","18-Jun-2013","        338.05","        338.10","        342.00","        337.20","        341.55","        341.20","        340.26","     440487","           149878202.20","       7264","     321698","         73.03"
"WIPRO","EQ","19-Jun-2013","        341.20","        342.00","        344.70","        337.50","        343.00","        343.50","        343.24","     942351","           323450102.25","      13595","     657253","         69.75"
"WIPRO","EQ","20-Jun-2013","        343.50","        344.00","        349.40","        341.40","        346.00","        347.50","        346.16","    4004986","          1386374054.40","      28808","    3057930","         76.35"
"WIPRO","EQ","21-Jun-2013","        347.50","        345.90","        351.00","        344.90","        348.90","        348.40","        348.26","    3643922","          1269033803.45","      25434","    3192377","         87.61"
"WIPRO","EQ","24-Jun-2013","        348.40","        348.00","        349.90","        330.95","        347.00","        346.55","        345.16","    1300616","           448921593.75","      16771","     923617","         71.01"
"WIPRO","EQ","25-Jun-2013","        346.55","        346.00","        346.00","        336.00","        340.05","        343.75","        342.89","    1373978","           471125113.95","      24416","     953040","         69.36"
"WIPRO","EQ","26-Jun-2013","        343.75","        343.30","        349.40","        340.00","        348.00","        348.10","        346.28","    1239406","           429182832.10","      17760","     937113","         75.61"
"WIPRO","EQ","27-Jun-2013","        348.10","        348.00","        351.70","        343.00","        346.00","        347.10","        347.34","    1900608","           660166280.85","      30785","    1447044","         76.14"
"WIPRO","EQ","28-Jun-2013","        347.10","        351.90","        352.00","        341.00","        349.00","        349.00","        346.66","    1905374","           660523806.15","      28937","    1434776","         75.30"
"WIPRO","EQ","01-Jul-2013","        349.00","        349.00","        352.00","        345.50","        351.00","        351.25","        350.46","     834272","           292376430.25","      15886","     592203","         70.98"
"WIPRO","EQ","02-Jul-2013","        351.25","        352.00","        354.70","        349.15","        352.70","        352.95","        352.55","    1874655","           660901549.60","      21558","    1577887","         84.17"
"WIPRO","EQ","03-Jul-2013","        352.95","        352.00","        353.90","        341.50","        344.10","        343.35","        346.79","     972952","           337414534.20","      30346","     565814","         58.15"
"WIPRO","EQ","04-Jul-2013","        343.35","        346.00","        350.90","        345.00","        350.00","        349.65","        349.01","    1067417","           372543920.45","      13992","     821968","         77.01"
"WIPRO","EQ","05-Jul-2013","        349.65","        351.15","        351.90","        348.00","        351.00","        350.95","        350.85","    1608528","           564356861.95","      13431","    1392504","         86.57"
"WIPRO","EQ","08-Jul-2013","        350.95","        346.25","        357.70","        346.25","        356.00","        355.50","        355.36","    1587016","           563965045.70","      40174","    1144813","         72.14"
"WIPRO","EQ","09-Jul-2013","        355.50","        355.20","        361.00","        355.00","        360.45","        360.15","        358.38","    1145703","           410594655.25","      25974","     851479","         74.32"
"WIPRO","EQ","10-Jul-2013","        360.15","        360.00","        365.35","        360.00","        365.00","        364.85","        363.71","    1619188","           588917319.75","      26303","    1113298","         68.76"
"WIPRO","EQ","11-Jul-2013","        364.85","        366.85","        368.80","        362.60","        363.50","        364.00","        364.92","    1247048","           455076295.25","      18364","     930032","         74.58"
"WIPRO","EQ","12-Jul-2013","        364.00","        370.00","        380.00","        367.75","        379.15","        375.60","        372.79","    2077613","           774512132.65","      47315","    1260345","         60.66"
"WIPRO","EQ","15-Jul-2013","        375.60","        374.90","        383.40","        374.90","        381.55","        381.90","        381.03","    1200195","           457315080.55","      31159","     762128","         63.50"
"WIPRO","EQ","16-Jul-2013","        381.90","        375.60","        384.95","        371.00","        375.30","        375.40","        376.42","    1141020","           429497793.20","      28115","     693287","         60.76"
"WIPRO","EQ","17-Jul-2013","        375.40","        376.00","        390.35","        375.15","        386.20","        387.10","        382.91","    1325122","           507396747.15","      21915","     838663","         63.29"
"WIPRO","EQ","18-Jul-2013","        387.10","        386.20","        394.00","        382.60","        384.05","        385.85","        388.18","    1106816","           429638878.85","      22817","     628259","         56.76"
"WIPRO","EQ","19-Jul-2013","        385.85","        390.00","        393.00","        387.05","        391.00","        391.40","        389.96","    1277493","           498167438.05","      38201","     832391","         65.16"
"WIPRO","EQ","22-Jul-2013","        391.40","        391.00","        394.50","        385.80","        392.55","        392.95","        391.66","    1003705","           393107950.20","      28161","     665834","         66.34"
"WIPRO","EQ","23-Jul-2013","        392.95","        392.75","        397.50","        381.85","        384.30","        384.20","        388.47","    1409834","           547683624.50","      29314","     971221","         68.89"
"WIPRO","EQ","24-Jul-2013","        384.20","        382.00","        394.45","        380.00","        392.00","        392.35","        388.98","    1579521","           614394607.45","      43924","    1112571","         70.44"
"WIPRO","EQ","25-Jul-2013","        392.35","        392.00","        393.95","        369.30","        374.10","        376.25","        377.02","    2611827","           984717211.80","      56115","    1631127","         62.45"
"WIPRO","EQ","26-Jul-2013","        376.25","        380.10","        387.65","        368.00","        385.15","        381.95","        377.05","    2534526","           955635184.50","      61328","    1235233","         48.74"
"WIPRO","EQ","29-Jul-2013","        381.95","        401.00","        418.00","        391.60","        409.30","        408.05","        405.22","    6388294","          2588649644.75","      98638","    2568470","         40.21"
"WIPRO","EQ","30-Jul-2013","        408.05","        410.00","        423.00","        408.05","        418.35","        418.80","        416.07","    3201962","          1332253988.00","      54276","    1854633","         57.92"
"WIPRO","EQ","31-Jul-2013","        418.80","        420.00","        441.00","        420.00","        437.50","        438.00","        432.19","    3612568","          1561306825.15","      61302","    2081271","         57.61"
"WIPRO","EQ","01-Aug-2013","        438.00","        438.00","        443.80","        427.50","        434.00","        436.40","        437.41","    1966728","           860264807.10","      36372","    1097259","         55.79"
"WIPRO","EQ","02-Aug-2013","        436.40","        436.25","        451.70","        434.40","        439.45","        438.70","        444.77","    2037304","           906132274.75","      47097","    1209540","         59.37"
"WIPRO","EQ","05-Aug-2013","        438.70","        438.00","        451.00","        434.55","        450.65","        449.25","        443.72","    2502575","          1110448175.70","      49180","    1750119","         69.93"
"WIPRO","EQ","06-Aug-2013","        449.25","        447.25","        463.70","        447.20","        452.20","        451.30","        455.60","    3370405","          1535545709.75","      80426","    2058087","         61.06"
"WIPRO","EQ","07-Aug-2013","        451.30","        450.00","        462.70","        445.75","        448.95","        451.05","        455.83","    3278073","          1494244996.75","      65056","    1926377","         58.77"
"WIPRO","EQ","08-Aug-2013","        451.05","        448.00","        450.00","        432.90","        447.90","        447.15","        440.94","    2014836","           888422599.95","      42710","    1035583","         51.40"
"WIPRO","EQ","12-Aug-2013","        447.15","        443.00","        455.05","        443.00","        455.00","        454.70","        452.68","    1653480","           748490494.30","      39260","    1123423","         67.94"
"WIPRO","EQ","13-Aug-2013","        454.70","        454.00","        469.45","        454.00","        465.40","        467.60","        466.20","    1988776","           927165456.30","      41501","    1055462","         53.07"
"WIPRO","EQ","14-Aug-2013","        467.60","        466.25","        472.90","        454.10","        461.70","        460.10","        462.94","    1414568","           654863389.70","      34283","     771606","         54.55"
"WIPRO","EQ","16-Aug-2013","        460.10","        456.70","        467.90","        453.35","        458.00","        456.50","        461.75","    2632253","          1215441247.75","      70750","    1651947","         62.76"
"WIPRO","EQ","19-Aug-2013","        456.50","        455.30","        464.00","        451.80","        456.50","        456.45","        457.72","    1334560","           610858018.55","      30172","     719035","         53.88"
"WIPRO","EQ","20-Aug-2013","        456.45","        453.20","        460.00","        441.80","        448.10","        448.25","        448.52","    2058427","           923236454.90","      43047","    1231571","         59.83"
"WIPRO","EQ","21-Aug-2013","        448.25","        447.60","        452.85","        437.80","        444.30","        441.95","        446.11","    1563402","           697456119.65","      39314","     837318","         53.56"
"WIPRO","EQ","22-Aug-2013","        441.95","        440.00","        448.85","        435.50","        444.00","        444.70","        444.71","    1473598","           655326454.50","      26718","     945122","         64.14"
"WIPRO","EQ","23-Aug-2013","        444.70","        444.15","        451.00","        437.55","        447.40","        448.20","        446.39","    2619924","          1169512271.90","      45491","    1946402","         74.29"
"WIPRO","EQ","26-Aug-2013","        448.20","        449.50","        466.00","        449.50","        457.60","        459.10","        460.62","    2650970","          1221088976.80","      56848","    1894205","         71.45"
"WIPRO","EQ","27-Aug-2013","        459.10","        459.55","        465.60","        451.60","        454.85","        454.95","        459.99","    2354672","          1083120170.55","      55720","    1649765","         70.06"
"WIPRO","EQ","28-Aug-2013","        454.95","        458.45","        474.05","        458.00","        473.25","        471.45","        466.74","    4762967","          2223087925.60","      62206","    3133636","         65.79"
"WIPRO","EQ","29-Aug-2013","        471.45","        472.00","        479.90","        462.25","        478.05","        473.45","        471.52","    4606114","          2171894312.60","      72671","    3323752","         72.16"
"WIPRO","EQ","30-Aug-2013","        473.45","        475.25","        495.00","        468.55","        484.00","        483.60","        483.81","   10846547","          5247664845.50","     134688","    8372069","         77.19"
"WIPRO","EQ","02-Sep-2013","        483.60","        483.05","        489.60","        480.75","        483.00","        484.45","        484.72","    2277103","          1103758294.30","      20935","    1686642","         74.07"
"WIPRO","EQ","03-Sep-2013","        484.45","        485.25","        500.60","        473.50","        476.25","        479.35","        485.84","    2735720","          1329118580.05","      58251","    1573789","         57.53"
"WIPRO","EQ","04-Sep-2013","        479.35","        481.25","        492.50","        476.50","        477.70","        481.30","        484.50","    3487244","          1689555564.95","      58426","    2095829","         60.10"
"WIPRO","EQ","05-Sep-2013","        481.30","        481.65","        484.00","        464.00","        464.45","        468.90","        470.92","    3066361","          1444004936.65","      43368","    2263992","         73.83"
"WIPRO","EQ","06-Sep-2013","        468.90","        468.15","        483.90","        464.90","        468.35","        468.50","        476.02","    4330716","          2061507083.45","      55016","    3183088","         73.50"
"WIPRO","EQ","10-Sep-2013","        468.50","        473.65","        484.00","        466.30","        472.30","        472.05","        473.30","    4135880","          1957503617.75","      57144","    3256662","         78.74"
"WIPRO","EQ","11-Sep-2013","        472.05","        472.35","        482.90","        470.30","        472.90","        475.00","        478.31","    4465838","          2136041694.20","      81857","    3262157","         73.05"
"WIPRO","EQ","12-Sep-2013","        475.00","        474.00","        479.60","        468.15","        469.95","        471.90","        474.43","    4495572","          2132856636.90","      53388","    3732321","         83.02"
"WIPRO","EQ","13-Sep-2013","        471.90","        474.00","        474.00","        450.95","        454.45","        455.50","        458.47","    3403033","          1560200922.70","      67497","    2401727","         70.58"
"WIPRO","EQ","16-Sep-2013","        455.50","        456.30","        458.00","        446.90","        450.55","        451.70","        451.02","    2565707","          1157192582.85","      50360","    1650864","         64.34"
"WIPRO","EQ","17-Sep-2013","        451.70","        453.85","        480.00","        453.25","        473.95","        474.95","        469.26","    2752914","          1291819366.90","      65252","    1582872","         57.50"
"WIPRO","EQ","18-Sep-2013","        474.95","        475.00","        485.00","        472.75","        480.00","        480.70","        480.90","    2525171","          1214344660.85","      74631","    1638086","         64.87"
"WIPRO","EQ","19-Sep-2013","        480.70","        478.00","        483.65","        468.60","        471.60","        472.00","        473.49","    1586818","           751343129.65","      35835","     929358","         58.57"
"WIPRO","EQ","20-Sep-2013","        472.00","        471.00","        481.30","        471.00","        474.50","        474.90","        477.25","    1645415","           785275900.75","      27469","     807562","         49.08"
"WIPRO","EQ","23-Sep-2013","        474.90","        476.00","        489.90","        474.00","        483.00","        483.50","        484.49","    2585731","          1252758774.90","      43951","    1564141","         60.49"
"WIPRO","EQ","24-Sep-2013","        483.50","        486.00","        490.40","        473.25","        478.00","        477.85","        479.13","    1702216","           815589492.30","      41448","     861427","         50.61"
"WIPRO","EQ","25-Sep-2013","        477.85","        480.00","        485.55","        474.10","        474.95","        475.55","        478.83","    1907677","           913445779.45","      46655","    1106694","         58.01"
"WIPRO","EQ","26-Sep-2013","        475.55","        474.25","        489.90","        474.00","        476.00","        478.25","        481.37","    5184238","          2495528259.80","      51821","    3361450","         64.84"
"WIPRO","EQ","27-Sep-2013","        478.25","        482.00","        484.90","        472.50","        474.00","        475.85","        477.59","    2161742","          1032417466.95","      35720","    1318103","         60.97"
"WIPRO","EQ","30-Sep-2013","        475.85","        476.05","        484.90","        470.10","        472.60","        473.05","        478.52","    1521460","           728055428.60","      34146","     716110","         47.07"
"WIPRO","EQ","01-Oct-2013","        473.05","        475.90","        479.50","        470.05","        472.00","        471.85","        474.17","    1160095","           550081307.90","      40445","     688066","         59.31"
